table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,
"Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for the United States: April 1, 2010 to July 1, 2019",,,,,,,,,,,,
"Sex, Race, and Hispanic Origin","April 1, 2010",,Population Estimate (as of July 1),,,,,,,,,
,Census,Estimates Base,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
TOTAL POPULATION,"308,745,538","308,758,105","309,321,666","311,556,874","313,830,990","315,993,715","318,301,008","320,635,163","322,941,311","324,985,539","326,687,501","328,239,523"
.One Race:,,,,,,,,,,,,
..White,"241,937,061","241,945,431","242,235,328","243,292,145","244,354,778","245,308,889","246,350,641","247,382,690","248,413,058","249,270,773","249,961,025","250,522,190"
..Black or African American,"40,250,635","40,254,450","40,355,385","40,783,547","41,225,339","41,651,863","42,090,120","42,532,491","42,970,183","43,374,142","43,732,024","44,075,086"
..American Indian and Alaska Native,"3,739,506","3,739,607","3,752,274","3,801,451","3,853,222","3,902,766","3,953,354","4,004,358","4,054,740","4,101,605","4,145,811","4,188,092"
..Asian,"15,159,516","15,159,643","15,261,408","15,721,072","16,195,092","16,679,752","17,203,569","17,752,744","18,279,949","18,764,237","19,134,105","19,504,862"
..Native Hawaiian and Other Pacific Islander,"674,625","674,644","678,046","692,216","706,660","721,575","735,273","750,159","765,814","780,316","793,787","806,937"
.Two or More Races,"6,984,195","6,984,330","7,039,225","7,266,443","7,495,899","7,728,870","7,968,051","8,212,721","8,457,567","8,694,466","8,920,749","9,142,356"
.Race Alone or in Combination:1,,,,,,,,,,,,
..White,"248,067,530","248,075,996","248,416,858","249,683,783","250,958,098","252,127,053","253,389,473","254,647,109","255,903,271","256,979,842","257,879,857","258,646,488"
..Black or African American,"43,213,173","43,217,060","43,347,645","43,898,857","44,464,891","45,017,720","45,586,479","46,162,127","46,733,758","47,268,586","47,754,210","48,221,139"
..American Indian and Alaska Native,"6,138,482","6,138,622","6,161,129","6,249,345","6,340,360","6,429,035","6,519,537","6,611,267","6,702,824","6,788,292","6,868,822","6,945,552"
..Asian,"17,676,507","17,676,688","17,799,441","18,347,881","18,912,003","19,488,488","20,105,977","20,751,126","21,373,695","21,949,938","22,405,594","22,861,985"
..Native Hawaiian and Other Pacific Islander,"1,332,494","1,332,529","1,339,695","1,369,615","1,400,144","1,431,395","1,461,672","1,493,235","1,525,581","1,556,054","1,584,440","1,612,424"
.NOT HISPANIC,"258,267,944","258,279,494","258,578,781","259,699,630","260,904,289","262,003,381","263,212,815","264,380,421","265,490,424","266,412,009","267,047,632","267,667,286"
..One Race:,,,,,,,,,,,,
